chr1	2459684	2463684	-	HES5
chr1	18955500	18959500	+	PAX7
chr1	23855712	23859712	-	E2F2
chr1	25289612	25293612	-	RUNX3
chr1	38323292	38327292	-	MTF1
chr1	41155320	41159320	+	NFYC
chr1	41825594	41829594	+	FOXO6
chr1	42799548	42803548	-	FOXJ3
chr1	46970668	46974668	+	DMBX1
chr1	47695892	47699892	-	TAL1
chr1	47899689	47903689	+	FOXD2
chr1	54197877	54201877	-	GLIS1
chr1	59247785	59251785	-	JUN
chr1	61328931	61332931	+	NFIA
chr1	63786730	63790730	+	FOXD3
chr1	75592119	75596119	+	LHX8
chr1	78442794	78446794	-	FUBP1
chr1	92950433	92954433	-	GFI1
chr1	110611322	110615322	-	ALX3
chr1	119530179	119534179	-	TBX15
chr1	150847244	150851244	-	ARNT
chr1	151317833	151321833	-	RFX5
chr1	156468620	156472620	-	MEF2D
chr1	157106266	157110266	-	ETV3
chr1	161013767	161017767	-	USF1
chr1	161206092	161210092	-	NR1I3
chr1	164522821	164526821	+	PBX1
chr1	165323952	165327952	-	LMX1A
chr1	165412433	165416433	-	RXRG
chr1	168248278	168252278	+	TBX19
chr1	170629869	170633869	+	PRRX1
chr1	180197421	180201421	+	LHX4
chr1	197879037	197883037	+	LHX9
chr1	199994730	199998730	+	NR5A2
chr1	201975073	201979073	+	ELF3
chr1	203053164	203057164	-	MYOG
chr1	204040243	204044243	+	SOX13
chr1	205599090	205603090	-	ELK4
chr1	212736676	212740676	+	ATF3
chr1	212871327	212875327	-	BATF3
chr1	214154524	214158524	+	PROX1
chr1	226409319	226413319	+	MIXL1
chr10	3825473	3829473	-	KLF6
chr10	8093567	8097567	+	GATA3
chr10	23479256	23483256	+	PTF1A
chr10	31605424	31609424	+	ZEB1
chr10	35413719	35417719	+	CREM
chr10	50601497	50605497	-	DRGX
chr10	64677660	64681660	-	EGR2
chr10	102493360	102497360	+	PAX2
chr10	102887257	102891257	+	TLX1
chr10	103999231	104003231	-	PITX3
chr10	104151867	104155867	+	NFKB2
chr10	118895812	118899812	-	VAX1
chr10	119299955	119303955	+	EMX2
chr10	124893478	124897478	+	HMX3
chr10	124905638	124909638	+	HMX2
chr10	135048908	135052908	+	VENTX
chr11	613999	617999	-	IRF7
chr11	2290182	2294182	-	ASCL2
chr11	12693969	12697969	+	TEAD1
chr11	17739115	17743115	+	MYOD1
chr11	19261167	19265167	-	E2F8
chr11	31837509	31841509	-	PAX6
chr11	32455176	32459176	-	WT1
chr11	34533352	34537352	-	ELF5
chr11	34640640	34644640	+	EHF
chr11	44329716	44333716	-	ALX4
chr11	47398127	47402127	-	SPI1
chr11	65552493	65556493	+	OVOL1
chr11	65666044	65670044	-	FOSL1
chr11	118990297	118994297	+	HINFP
chr11	128455453	128459453	-	ETS1
chr11	128554430	128558430	+	FLI1
chr11	129243835	129247835	+	BARX2
chr12	2984206	2988206	-	FOXM1
chr12	3066496	3070496	+	TEAD4
chr12	7938390	7942390	+	NANOG
chr12	8183299	8187299	+	FOXJ2
chr12	11800788	11804788	+	ETV6
chr12	24101966	24105966	-	SOX5
chr12	48334831	48338831	-	VDR
chr12	51155493	51159493	+	ATF1
chr12	51564926	51568926	-	TFCP2
chr12	52414616	52418616	+	NR4A1
chr12	53624764	53628764	-	RARG
chr12	53771960	53775960	+	SP1
chr12	54018199	54022199	-	ATF7
chr12	54692905	54696905	-	NFE2
chr12	56751939	56755939	-	STAT2
chr12	57523922	57527922	-	STAT6
chr12	57851918	57855918	+	GLI1
chr12	57912300	57916300	-	DDIT3
chr12	66215911	66219911	+	HMGA2
chr12	77457360	77461360	-	E2F7
chr12	81099277	81103277	+	MYF6
chr12	85671885	85675885	+	ALX1
chr12	95465479	95469479	-	NR2C1
chr12	96586160	96590160	+	ELK3
chr12	100865486	100869486	+	NR1H4
chr12	101867199	101871199	+	SPIC
chr12	104530067	104534067	-	NFYB
chr12	106974685	106978685	+	RFX4
chr12	108153049	108157049	-	PRDM4
chr12	111469828	111473828	+	CUX2
chr12	114844247	114848247	-	TBX5
chr12	115119969	115123969	-	TBX3
chr12	121414346	121418346	+	HNF1A
chr13	28364780	28368780	+	GSX1
chr13	28492157	28496157	+	PDX1
chr13	28543276	28547276	-	CDX2
chr13	41238734	41242734	-	FOXO1
chr13	41633576	41637576	-	ELF1
chr13	74706394	74710394	-	KLF12
chr13	95362389	95366389	-	SOX21
chr13	100632026	100636026	+	ZIC2
chr13	112719913	112723913	+	SOX1
chr13	114237013	114241013	+	TFDP1
chr14	23586825	23590825	-	CEBPE
chr14	23766656	23770656	-	HOMEZ
chr14	24582223	24586223	-	NRL
chr14	24628262	24632262	+	IRF9
chr14	29233050	29237050	+	FOXG1
chr14	38067245	38071245	-	FOXA1
chr14	57275197	57279197	-	OTX2
chr14	62160231	62164231	+	HIF1A
chr14	64802830	64806830	-	ESR2
chr14	65567413	65571413	-	MAX
chr14	74704175	74708175	+	VSX2
chr14	75743477	75747477	+	FOS
chr14	75892419	75896419	+	JDP2
chr14	75986768	75990768	+	BATF
chr14	95234562	95238562	-	GSC
chr15	31617058	31621058	+	KLF13
chr15	37391504	37395504	-	MEIS2
chr15	60294421	60298421	+	FOXB1
chr15	61519518	61523518	-	RORA
chr15	67354101	67358101	+	SMAD3
chr15	76627065	76631065	+	ISL2
chr15	80694692	80698692	+	ARNT2
chr15	83315612	83319612	-	CPEB1
chr15	90292541	90296541	-	MESP1
chr15	100015370	100019370	+	MEF2A
