Model	Transcription factor	Model length	Quality	TF family	EntrezGene	UniProt ID
AHR_HUMAN.H10MO.B	AHR	9	B	PAS domain factors{1.2.5}	196	AHR_HUMAN
AIRE_HUMAN.H10MO.C	AIRE	18	C	AIRE{5.3.1}	326	AIRE_HUMAN
ALX1_HUMAN.H10MO.B	ALX1	12	B	Paired-related HD factors{3.1.3}	8092	ALX1_HUMAN
ALX3_HUMAN.H10MO.D	ALX3	11	D	Paired-related HD factors{3.1.3}	257	ALX3_HUMAN
ALX4_HUMAN.H10MO.D	ALX4	12	D	Paired-related HD factors{3.1.3}	60529	ALX4_HUMAN
ANDR_HUMAN.H10MO.A	AR	17	A	Steroid hormone receptors (NR3){2.1.1}	367	ANDR_HUMAN
AP2A_HUMAN.H10MO.C	TFAP2A	15	C	AP-2{1.3.1}	7020	AP2A_HUMAN
AP2B_HUMAN.H10MO.B	TFAP2B	10	B	AP-2{1.3.1}	7021	AP2B_HUMAN
AP2C_HUMAN.H10MO.A	TFAP2C	14	A	AP-2{1.3.1}	7022	AP2C_HUMAN
AP2D_HUMAN.H10MO.D	TFAP2D	14	D	AP-2{1.3.1}	83741	AP2D_HUMAN
ARI3A_HUMAN.H10MO.D	ARID3A	22	D	ARID-related factors{3.7.1}	1820	ARI3A_HUMAN
ARI3A_HUMAN.H10MO.S	ARID3A	7	S	ARID-related factors{3.7.1}	1820	ARI3A_HUMAN
ARI5B_HUMAN.H10MO.C	ARID5B	13	C	ARID-related factors{3.7.1}	84159	ARI5B_HUMAN
ARNT2_HUMAN.H10MO.D	ARNT2	12	D	PAS domain factors{1.2.5}	9915	ARNT2_HUMAN
ARNT_HUMAN.H10MO.B	ARNT	8	B	PAS domain factors{1.2.5}	405	ARNT_HUMAN
ARX_HUMAN.H10MO.D	ARX	13	D	Paired-related HD factors{3.1.3}	170302	ARX_HUMAN
ASCL2_HUMAN.H10MO.D	ASCL2	14	D	MyoD / ASC-related factors{1.2.2}	430	ASCL2_HUMAN
ATF1_HUMAN.H10MO.B	ATF1	11	B	CREB-related factors{1.1.7}	466	ATF1_HUMAN
ATF2_HUMAN.H10MO.B	ATF2	9	B	Jun-related factors{1.1.1}	1386	ATF2_HUMAN
ATF3_HUMAN.H10MO.A	ATF3	9	A	Fos-related factors{1.1.2}	467	ATF3_HUMAN
ATF6A_HUMAN.H10MO.B	ATF6	12	B	CREB-related factors{1.1.7}	22926	ATF6A_HUMAN
ATF7_HUMAN.H10MO.D	ATF7	11	D	Jun-related factors{1.1.1}	11016	ATF7_HUMAN
ATOH1_HUMAN.H10MO.D	ATOH1	11	D	Tal-related factors{1.2.3}	474	ATOH1_HUMAN
BACH1_HUMAN.H10MO.A	BACH1	13	A	Jun-related factors{1.1.1}	571	BACH1_HUMAN
BARH1_HUMAN.H10MO.D	BARHL1	13	D	NK-related factors{3.1.2}	56751	BARH1_HUMAN
BARH2_HUMAN.H10MO.D	BARHL2	18	D	NK-related factors{3.1.2}	343472	BARH2_HUMAN
BARX1_HUMAN.H10MO.D	BARX1	17	D	NK-related factors{3.1.2}	56033	BARX1_HUMAN
BARX2_HUMAN.H10MO.D	BARX2	10	D	NK-related factors{3.1.2}	8538	BARX2_HUMAN
BATF3_HUMAN.H10MO.D	BATF3	12	D	B-ATF-related factors{1.1.4}	55509	BATF3_HUMAN
BATF_HUMAN.H10MO.A	BATF	18	A	B-ATF-related factors{1.1.4}	10538	BATF_HUMAN
BATF_HUMAN.H10MO.S	BATF	10	S	B-ATF-related factors{1.1.4}	10538	BATF_HUMAN
BC11A_HUMAN.H10MO.C	BCL11A	17	C	Factors with multiple dispersed zinc fingers{2.3.4}	53335	BC11A_HUMAN
BCL6B_HUMAN.H10MO.D	BCL6B	11	D	More than 3 adjacent zinc finger factors{2.3.3}	255877	BCL6B_HUMAN
BCL6_HUMAN.H10MO.C	BCL6	16	C	More than 3 adjacent zinc finger factors{2.3.3}	604	BCL6_HUMAN
BHA15_HUMAN.H10MO.D	BHLHA15	11	D	Tal-related factors{1.2.3}	168620	BHA15_HUMAN
BHE22_HUMAN.H10MO.D	BHLHE22	13	D	Tal-related factors{1.2.3}	27319	BHE22_HUMAN
BHE23_HUMAN.H10MO.D	BHLHE23	12	D	Tal-related factors{1.2.3}	128408	BHE23_HUMAN
BHE40_HUMAN.H10MO.A	BHLHE40	9	A	Hairy-related factors{1.2.4}	8553	BHE40_HUMAN
BHE41_HUMAN.H10MO.D	BHLHE41	20	D	Hairy-related factors{1.2.4}	79365	BHE41_HUMAN
BMAL1_HUMAN.H10MO.C	ARNTL	14	C	PAS domain factors{1.2.5}	406	BMAL1_HUMAN
BPTF_HUMAN.H10MO.D	BPTF	12	D		2186	BPTF_HUMAN
BRAC_HUMAN.H10MO.D	T	25	D	Brachyury-related factors{6.5.1}	6862	BRAC_HUMAN
BRCA1_HUMAN.H10MO.D	BRCA1	9	D		672	BRCA1_HUMAN
BSH_HUMAN.H10MO.D	BSX	14	D	NK-related factors{3.1.2}	390259	BSH_HUMAN
CDC5L_HUMAN.H10MO.D	CDC5L	15	D	Myb/SANT domain factors{3.5.1}	988	CDC5L_HUMAN
CDX1_HUMAN.H10MO.C	CDX1	8	C	HOX-related factors{3.1.1}	1044	CDX1_HUMAN
CDX2_HUMAN.H10MO.C	CDX2	8	C	HOX-related factors{3.1.1}	1045	CDX2_HUMAN
CEBPA_HUMAN.H10MO.A	CEBPA	13	A	C/EBP-related{1.1.8}	1050	CEBPA_HUMAN
CEBPB_HUMAN.H10MO.A	CEBPB	12	A	C/EBP-related{1.1.8}	1051	CEBPB_HUMAN
CEBPD_HUMAN.H10MO.B	CEBPD	11	B	C/EBP-related{1.1.8}	1052	CEBPD_HUMAN
